Supplementary Table 9. Pairwise comparison of AA similarity acros Picorna-like viruses,,,,,
Species 1,Species 2,Names 1,Names 2,disimilarity,similarity
DcPV,SenV-A1,Dinocampus coccinellae paralysis virus,Senecavirus A1,0.98,0.02
AoV-4,THV-2993D,Putative A. octoarticulatus virus 2 (g5994 i0),Turkey hepatitis virus 2993D,0.98,0.02
SEIV-2,POLIO1A,Spodoptera exigua iflavirus 2,Human poliovirus 1 Mahoney,0.98,0.02
CRLV,MSPV-1,Cherry rasp leaf virus,Miniopterus schreibersii picornavirus 1,0.98,0.02
ApIV,FMDV-O1K,Antheraea pernyi iflavirus,Foot and mouth disease virus,0.98,0.02
SEIV-1,SenV-A1,Spodoptera exigua iflavirus 1,Senecavirus A1,0.98,0.02
ArMV,AiV-1,Arabis mosaic virus,Aichi virus 1,0.98,0.02
BatIV,RoM-7,Bat iflavirus (Yinda et al. 2016),Rosavirus M-7,0.98,0.02
AoV-2,GaV-A1,Putative A. octoarticulatus virus 3 (g6982 i4),Gallivirus A1,0.98,0.02
TplV-1,MSPV-1,Thaumetopoea pityocampa iflavirus 1,Miniopterus schreibersii picornavirus 1,0.98,0.02
FeV-2,ERAV,Formica exsecta virus 2,Equine rhinitis B virus 1,0.98,0.02
TplV-1,THV-2993D,Thaumetopoea pityocampa iflavirus 1,Turkey hepatitis virus 2993D,0.98,0.02
SEIV-2,CPDV,Spodoptera exigua iflavirus 2,Canine picodicistrovirus,0.98,0.02
LdIV-1,CV-A1,Lymantria dispar iflavirus 1,Cardiovirus A1,0.98,0.02
BQCV,FMDV-O1K,Black queen cell virus,Foot and mouth disease virus,0.98,0.02
BQCV,ERAV,Black queen cell virus,Equine rhinitis B virus 1,0.98,0.02
KgV,GaV-A1,King virus,Gallivirus A1,0.98,0.02
DWV,POLIO1A,Deformed wing virus,Human poliovirus 1 Mahoney,0.98,0.02
CRLV,PEV-8,Cherry rasp leaf virus,Porcine enterovirus 8,0.98,0.02
AoV-4,BHuV-1,Putative A. octoarticulatus virus 2 (g5994 i0),Bovine hungarovirus 1,0.98,0.02
AoV-5,SV-NG-J1,Putative A. octoarticulatus virus 4 (g1894 i0),Salivirus NG-J1,0.98,0.02
SINV-11,FSak1, Solenopsis invicta virus 11,Feline sakobuvirus A,0.98,0.02
SEIV-1,RoM-7,Spodoptera exigua iflavirus 1,Rosavirus M-7,0.98,0.02
SBPV,ERAV,Slow bee paralysis virus,Equine rhinitis B virus 1,0.98,0.02
CRLV,CPDV,Cherry rasp leaf virus,Canine picodicistrovirus,0.98,0.02
SEIV-1,POLIO1A,Spodoptera exigua iflavirus 1,Human poliovirus 1 Mahoney,0.98,0.02
AoV-4,SenV-A1,Putative A. octoarticulatus virus 2 (g5994 i0),Senecavirus A1,0.98,0.02
FEX-1,GaV-A1,Formica exsecta virus 1,Gallivirus A1,0.98,0.02
ArMV,TuASV,Arabis mosaic virus,Turkey avisivirus,0.98,0.02
ALPV,MSPV-1,Aphid lethal paralysis virus,Miniopterus schreibersii picornavirus 1,0.98,0.02
VdV-1,ERAV,Varroa destructor virus 1,Equine rhinitis B virus 1,0.98,0.02
ABPV,OsV-A1,Acute bee paralysis virus,Oscivirus A1,0.98,0.02
AoV-8,TesV-A1,Putative A. octoarticulatus virus 7 (g3814 i0),Teschovirus A1,0.98,0.02
SEIV-2,TuASV,Spodoptera exigua iflavirus 2,Turkey avisivirus,0.97,0.03
SEIV-1,BatPI,Spodoptera exigua iflavirus 1,Bat picornavirus,0.97,0.03
ApIV,CV-A1,Antheraea pernyi iflavirus,Cardiovirus A1,0.97,0.03
DWV,RoM-7,Deformed wing virus,Rosavirus M-7,0.97,0.03
SINV-11,RoM-7, Solenopsis invicta virus 11,Rosavirus M-7,0.97,0.03
SINV-16,CosV-A1, Solenopsis invicta virus 16,Cosavirus A1,0.97,0.03
CRLV,SV-NG-J1,Cherry rasp leaf virus,Salivirus NG-J1,0.97,0.03
ArMV,EPV-1,Arabis mosaic virus,Eel picornavirus 1,0.97,0.03
AoV-2,SV-NG-J1,Putative A. octoarticulatus virus 3 (g6982 i4),Salivirus NG-J1,0.97,0.03
AoV-2,RoM-7,Putative A. octoarticulatus virus 3 (g6982 i4),Rosavirus M-7,0.97,0.03
ArMV,POLIO1A,Arabis mosaic virus,Human poliovirus 1 Mahoney,0.97,0.03
FeV-2,CV-A1,Formica exsecta virus 2,Cardiovirus A1,0.97,0.03
LdIV-1,SiV-A,Lymantria dispar iflavirus 1,Sicinivirus A,0.97,0.03
CRLV,TuASV,Cherry rasp leaf virus,Turkey avisivirus,0.97,0.03
STV9,MSPV-1,Soybean thrips iflavirus 9,Miniopterus schreibersii picornavirus 1,0.97,0.03
SINV-16,PEV-8, Solenopsis invicta virus 16,Porcine enterovirus 8,0.97,0.03
VdV-1,SenV-A1,Varroa destructor virus 1,Senecavirus A1,0.97,0.03
SINV-11,ERAV, Solenopsis invicta virus 11,Equine rhinitis B virus 1,0.97,0.03
KgV,PasV-A1,King virus,Passerivirus A1,0.97,0.03
ALPV,CPDV,Aphid lethal paralysis virus,Canine picodicistrovirus,0.97,0.03
TplV-1,CV-A1,Thaumetopoea pityocampa iflavirus 1,Cardiovirus A1,0.97,0.03
ALPV,TesV-A1,Aphid lethal paralysis virus,Teschovirus A1,0.97,0.03
FeV-2,PasV-A1,Formica exsecta virus 2,Passerivirus A1,0.97,0.03
AoV-5,PaV-1,Putative A. octoarticulatus virus 4 (g1894 i0),Pasivirus A1,0.97,0.03
TplV-1,HPeV-1,Thaumetopoea pityocampa iflavirus 1,Human parechovirus 1,0.97,0.03
AoV-4,AV-A1,Putative A. octoarticulatus virus 2 (g5994 i0),Aquamavirus A1,0.97,0.03
KgV,SenV-A1,King virus,Senecavirus A1,0.97,0.03
SEIV-1,MSPV-1,Spodoptera exigua iflavirus 1,Miniopterus schreibersii picornavirus 1,0.97,0.03
OilV-1,AiV-1,Osiphanes invirae iflavirus 1,Aichi virus 1,0.97,0.03
SEIV-2,BHuV-1,Spodoptera exigua iflavirus 2,Bovine hungarovirus 1,0.97,0.03
DcPV,HAV,Dinocampus coccinellae paralysis virus,Hepatovirus A,0.97,0.03
AoV-5,AiV-1,Putative A. octoarticulatus virus 4 (g1894 i0),Aichi virus 1,0.97,0.03
SEIV-2,HAV,Spodoptera exigua iflavirus 2,Hepatovirus A,0.97,0.03
SINV-11,GaV-A1, Solenopsis invicta virus 11,Gallivirus A1,0.97,0.03
FeV-2,THV-2993D,Formica exsecta virus 2,Turkey hepatitis virus 2993D,0.97,0.03
SEIV-1,AEV-1,Spodoptera exigua iflavirus 1,Tremovirus A1,0.97,0.03
CRLV,PaV-1,Cherry rasp leaf virus,Pasivirus A1,0.97,0.03
SBPV,MSPV-1,Slow bee paralysis virus,Miniopterus schreibersii picornavirus 1,0.97,0.03
AoV-7,MSPV-1,Putative A. octoarticulatus virus 6 (g3684 i0),Miniopterus schreibersii picornavirus 1,0.97,0.03
AoV-8,AiV-1,Putative A. octoarticulatus virus 7 (g3814 i0),Aichi virus 1,0.97,0.03
SINV-11,OsV-A1, Solenopsis invicta virus 11,Oscivirus A1,0.97,0.03
AoV-8,OsV-A1,Putative A. octoarticulatus virus 7 (g3814 i0),Oscivirus A1,0.97,0.03
AoV-4,RoM-7,Putative A. octoarticulatus virus 2 (g5994 i0),Rosavirus M-7,0.97,0.03
SBPV,RoM-7,Slow bee paralysis virus,Rosavirus M-7,0.97,0.03
TplV-1,RoM-7,Thaumetopoea pityocampa iflavirus 1,Rosavirus M-7,0.97,0.03
ApIV,RoM-7,Antheraea pernyi iflavirus,Rosavirus M-7,0.97,0.03
KgV,PaV-1,King virus,Pasivirus A1,0.97,0.03
FeV-2,FMDV-O1K,Formica exsecta virus 2,Foot and mouth disease virus,0.97,0.03
DcPV,SiV-A,Dinocampus coccinellae paralysis virus,Sicinivirus A,0.97,0.03
BatIV,TuASV,Bat iflavirus (Yinda et al. 2016),Turkey avisivirus,0.97,0.03
SEIV-1,TuASV,Spodoptera exigua iflavirus 1,Turkey avisivirus,0.97,0.03
BQCV,SenV-A1,Black queen cell virus,Senecavirus A1,0.97,0.03
DWV,ERAV,Deformed wing virus,Equine rhinitis B virus 1,0.97,0.03
EoV,MoV-A1,Ectropis obliqua virus,Mosavirus A1,0.97,0.03
AoV-5,TesV-A1,Putative A. octoarticulatus virus 4 (g1894 i0),Teschovirus A1,0.97,0.03
AoV-3,PaV-1,Putative A. octoarticulatus virus 1 (g2275 i0),Pasivirus A1,0.97,0.03
ArMV,OsV-A1,Arabis mosaic virus,Oscivirus A1,0.97,0.03
FeV-2,GaV-A1,Formica exsecta virus 2,Gallivirus A1,0.97,0.03
ArMV,THV-2993D,Arabis mosaic virus,Turkey hepatitis virus 2993D,0.97,0.03
IFV,PEV-8,Infectious flacherie virus,Porcine enterovirus 8,0.97,0.03
AoV-5,FMDV-O1K,Putative A. octoarticulatus virus 4 (g1894 i0),Foot and mouth disease virus,0.97,0.03
AoV-7,SenV-A1,Putative A. octoarticulatus virus 6 (g3684 i0),Senecavirus A1,0.97,0.03
AoV-5,ERAV,Putative A. octoarticulatus virus 4 (g1894 i0),Equine rhinitis B virus 1,0.97,0.03
AoV-4,TesV-A1,Putative A. octoarticulatus virus 2 (g5994 i0),Teschovirus A1,0.97,0.03
FeV-2,TesV-A1,Formica exsecta virus 2,Teschovirus A1,0.97,0.03
FeV-2,BHuV-1,Formica exsecta virus 2,Bovine hungarovirus 1,0.97,0.03
SINV-11,AiV-1, Solenopsis invicta virus 11,Aichi virus 1,0.97,0.03
FeV-2,SenV-A1,Formica exsecta virus 2,Senecavirus A1,0.97,0.03
IAPV,GaV-A1,Israeli acute paralysis virus,Gallivirus A1,0.97,0.03
ABPV,GaV-A1,Acute bee paralysis virus,Gallivirus A1,0.97,0.03
AoV-8,THV-2993D,Putative A. octoarticulatus virus 7 (g3814 i0),Turkey hepatitis virus 2993D,0.97,0.03
SEIV-2,CV-A1,Spodoptera exigua iflavirus 2,Cardiovirus A1,0.97,0.03
NLHV-1,ERAV,Nilaparvata lugens honeydew virus 1,Equine rhinitis B virus 1,0.97,0.03
BatIV,KuV-A1,Bat iflavirus (Yinda et al. 2016),Kunsagivirus A1,0.97,0.03
ArMV,CV-A1,Arabis mosaic virus,Cardiovirus A1,0.97,0.03
FeV-2,POLIO1A,Formica exsecta virus 2,Human poliovirus 1 Mahoney,0.97,0.03
VdV-1,FMDV-O1K,Varroa destructor virus 1,Foot and mouth disease virus,0.97,0.03
DWV,SenV-A1,Deformed wing virus,Senecavirus A1,0.97,0.03
DcPV,FSak1,Dinocampus coccinellae paralysis virus,Feline sakobuvirus A,0.97,0.03
SEIV-2,THV-2993D,Spodoptera exigua iflavirus 2,Turkey hepatitis virus 2993D,0.97,0.03
SEIV-2,HPeV-1,Spodoptera exigua iflavirus 2,Human parechovirus 1,0.97,0.03
BQCV,THV-2993D,Black queen cell virus,Turkey hepatitis virus 2993D,0.97,0.03
ApIV,OsV-A1,Antheraea pernyi iflavirus,Oscivirus A1,0.97,0.03
LHUV-1,GaV-A1,Linepithema humile virus 1,Gallivirus A1,0.97,0.03
PNV,TuASV,Perina nuda virus,Turkey avisivirus,0.97,0.03
AoV-6,SenV-A1,Putative A. octoarticulatus virus 5 (g2855 i0),Senecavirus A1,0.97,0.03
DcPV,MSPV-1,Dinocampus coccinellae paralysis virus,Miniopterus schreibersii picornavirus 1,0.97,0.03
DWV,SiV-A,Deformed wing virus,Sicinivirus A,0.97,0.03
ArMV,CosV-A1,Arabis mosaic virus,Cosavirus A1,0.97,0.03
KgV,ERAV,King virus,Equine rhinitis B virus 1,0.97,0.03
SBPV,PEV-8,Slow bee paralysis virus,Porcine enterovirus 8,0.97,0.03
BBV,CV-A1,Brevicoryne brassicae virus,Cardiovirus A1,0.97,0.03
ArMV,MoV-A1,Arabis mosaic virus,Mosavirus A1,0.97,0.03
SBPV,AiV-1,Slow bee paralysis virus,Aichi virus 1,0.97,0.03
DcPV,AiV-1,Dinocampus coccinellae paralysis virus,Aichi virus 1,0.97,0.03
AoV-5,PasV-A1,Putative A. octoarticulatus virus 4 (g1894 i0),Passerivirus A1,0.97,0.03
FeV-2,HPeV-1,Formica exsecta virus 2,Human parechovirus 1,0.97,0.03
AoV-8,LimV-A1,Putative A. octoarticulatus virus 7 (g3814 i0),Limnipivirus A1,0.97,0.03
OilV-1,HPeV-1,Osiphanes invirae iflavirus 1,Human parechovirus 1,0.97,0.03
BBV,AoV-8,Brevicoryne brassicae virus,Putative A. octoarticulatus virus 7 (g3814 i0),0.97,0.03
PNV,MoV-A1,Perina nuda virus,Mosavirus A1,0.97,0.03
VdV-1,POLIO1A,Varroa destructor virus 1,Human poliovirus 1 Mahoney,0.97,0.03
AoV-5,OsV-A1,Putative A. octoarticulatus virus 4 (g1894 i0),Oscivirus A1,0.97,0.03
LdIV-1,FMDV-O1K,Lymantria dispar iflavirus 1,Foot and mouth disease virus,0.97,0.03
IAPV,MSPV-1,Israeli acute paralysis virus,Miniopterus schreibersii picornavirus 1,0.97,0.03
KgV,TesV-A1,King virus,Teschovirus A1,0.97,0.03
VdV-1,SiV-A,Varroa destructor virus 1,Sicinivirus A,0.97,0.03
AoV-8,RoM-7,Putative A. octoarticulatus virus 7 (g3814 i0),Rosavirus M-7,0.97,0.03
SBPV,LimV-A1,Slow bee paralysis virus,Limnipivirus A1,0.97,0.03
SBPV,AV-A1,Slow bee paralysis virus,Aquamavirus A1,0.97,0.03
TplV-1,AV-A1,Thaumetopoea pityocampa iflavirus 1,Aquamavirus A1,0.97,0.03
BBV,AV-A1,Brevicoryne brassicae virus,Aquamavirus A1,0.97,0.03
SINV-16,AV-A1, Solenopsis invicta virus 16,Aquamavirus A1,0.97,0.03
DcPV,BQCV,Dinocampus coccinellae paralysis virus,Black queen cell virus,0.97,0.03
ArMV,BatPI,Arabis mosaic virus,Bat picornavirus,0.97,0.03
DWV,FSak1,Deformed wing virus,Feline sakobuvirus A,0.97,0.03
AoV-8,PaV-1,Putative A. octoarticulatus virus 7 (g3814 i0),Pasivirus A1,0.97,0.03
NIHV-2,OilV-1,Nilaparvata lugens honeydew virus-2,Osiphanes invirae iflavirus 1,0.97,0.03
STV9,TesV-A1,Soybean thrips iflavirus 9,Teschovirus A1,0.97,0.03
SINV-16,GaV-A1, Solenopsis invicta virus 16,Gallivirus A1,0.97,0.03
SINV-11,POLIO1A, Solenopsis invicta virus 11,Human poliovirus 1 Mahoney,0.97,0.03
DcPV,TesV-A1,Dinocampus coccinellae paralysis virus,Teschovirus A1,0.97,0.03
DcPV,BHuV-1,Dinocampus coccinellae paralysis virus,Bovine hungarovirus 1,0.97,0.03
FEX-1,BHuV-1,Formica exsecta virus 1,Bovine hungarovirus 1,0.97,0.03
AoV-5,FSak1,Putative A. octoarticulatus virus 4 (g1894 i0),Feline sakobuvirus A,0.97,0.03
DWV,MSPV-1,Deformed wing virus,Miniopterus schreibersii picornavirus 1,0.97,0.03
SBV,TesV-A1,Sacbrood virus,Teschovirus A1,0.97,0.03
STV9,HPeV-1,Soybean thrips iflavirus 9,Human parechovirus 1,0.97,0.03
NIHV-2,CV-A1,Nilaparvata lugens honeydew virus-2,Cardiovirus A1,0.97,0.03
LdIV-1,MoV-A1,Lymantria dispar iflavirus 1,Mosavirus A1,0.97,0.03
DWV,AV-A1,Deformed wing virus,Aquamavirus A1,0.97,0.03
AoV-5,MSPV-1,Putative A. octoarticulatus virus 4 (g1894 i0),Miniopterus schreibersii picornavirus 1,0.97,0.03
SEIV-1,SV-NG-J1,Spodoptera exigua iflavirus 1,Salivirus NG-J1,0.97,0.03
VdV-1,AiV-1,Varroa destructor virus 1,Aichi virus 1,0.97,0.03
LdIV-1,RoM-7,Lymantria dispar iflavirus 1,Rosavirus M-7,0.97,0.03
SINV-11,THV-2993D, Solenopsis invicta virus 11,Turkey hepatitis virus 2993D,0.97,0.03
SINV-16,POLIO1A, Solenopsis invicta virus 16,Human poliovirus 1 Mahoney,0.97,0.03
SBPV,FSak1,Slow bee paralysis virus,Feline sakobuvirus A,0.97,0.03
DWV,GaV-A1,Deformed wing virus,Gallivirus A1,0.97,0.03
DWV,AoV-8,Deformed wing virus,Putative A. octoarticulatus virus 7 (g3814 i0),0.97,0.03
ArMV,SenV-A1,Arabis mosaic virus,Senecavirus A1,0.97,0.03
CRLV,ERAV,Cherry rasp leaf virus,Equine rhinitis B virus 1,0.97,0.03
AoV-8,POLIO1A,Putative A. octoarticulatus virus 7 (g3814 i0),Human poliovirus 1 Mahoney,0.97,0.03
FeV-2,KuV-A1,Formica exsecta virus 2,Kunsagivirus A1,0.97,0.03
DWV,FMDV-O1K,Deformed wing virus,Foot and mouth disease virus,0.97,0.03
VdV-1,MSPV-1,Varroa destructor virus 1,Miniopterus schreibersii picornavirus 1,0.97,0.03
LdIV-1,OsV-A1,Lymantria dispar iflavirus 1,Oscivirus A1,0.97,0.03
SBV,CV-A1,Sacbrood virus,Cardiovirus A1,0.97,0.03
CPMV,HPeV-1,Cowpea mosaic virus,Human parechovirus 1,0.97,0.03
FeV-2,AEV-1,Formica exsecta virus 2,Tremovirus A1,0.97,0.03
EoV,CV-A1,Ectropis obliqua virus,Cardiovirus A1,0.97,0.03
ApIV,BHuV-1,Antheraea pernyi iflavirus,Bovine hungarovirus 1,0.97,0.03
SEIV-2,SV-NG-J1,Spodoptera exigua iflavirus 2,Salivirus NG-J1,0.97,0.03
AoV-3,POLIO1A,Putative A. octoarticulatus virus 1 (g2275 i0),Human poliovirus 1 Mahoney,0.97,0.03
LHUV-1,POLIO1A,Linepithema humile virus 1,Human poliovirus 1 Mahoney,0.97,0.03
VdV-1,GaV-A1,Varroa destructor virus 1,Gallivirus A1,0.97,0.03
MSPV-1,TuASV,Miniopterus schreibersii picornavirus 1,Turkey avisivirus,0.97,0.03
KgV,MSPV-1,King virus,Miniopterus schreibersii picornavirus 1,0.97,0.03
AoV-8,FSak1,Putative A. octoarticulatus virus 7 (g3814 i0),Feline sakobuvirus A,0.97,0.03
IFV,AiV-1,Infectious flacherie virus,Aichi virus 1,0.97,0.03
DWV,BHuV-1,Deformed wing virus,Bovine hungarovirus 1,0.97,0.03
AoV-7,TuASV,Putative A. octoarticulatus virus 6 (g3684 i0),Turkey avisivirus,0.97,0.03
SEIV-1,HPeV-1,Spodoptera exigua iflavirus 1,Human parechovirus 1,0.97,0.03
SBPV,BatPI,Slow bee paralysis virus,Bat picornavirus,0.97,0.03
SINV-11,PasV-A1, Solenopsis invicta virus 11,Passerivirus A1,0.97,0.03
SEIV-1,PasV-A1,Spodoptera exigua iflavirus 1,Passerivirus A1,0.97,0.03
SINV-11,SiV-A, Solenopsis invicta virus 11,Sicinivirus A,0.97,0.03
SEIV-1,SiV-A,Spodoptera exigua iflavirus 1,Sicinivirus A,0.97,0.03
TplV-1,FMDV-O1K,Thaumetopoea pityocampa iflavirus 1,Foot and mouth disease virus,0.97,0.03
OilV-1,CPMV,Osiphanes invirae iflavirus 1,Cowpea mosaic virus,0.97,0.03
AoV-2,IFV,Putative A. octoarticulatus virus 3 (g6982 i4),Infectious flacherie virus,0.97,0.03
NLHV-1,POLIO1A,Nilaparvata lugens honeydew virus 1,Human poliovirus 1 Mahoney,0.97,0.03
AoV-5,BHuV-1,Putative A. octoarticulatus virus 4 (g1894 i0),Bovine hungarovirus 1,0.97,0.03
AoV-5,SenV-A1,Putative A. octoarticulatus virus 4 (g1894 i0),Senecavirus A1,0.97,0.03
SBPV,MoV-A1,Slow bee paralysis virus,Mosavirus A1,0.97,0.03
KgV,SiV-A,King virus,Sicinivirus A,0.97,0.03
AoV-8,PEV-8,Putative A. octoarticulatus virus 7 (g3814 i0),Porcine enterovirus 8,0.97,0.03
IFV,GaV-A1,Infectious flacherie virus,Gallivirus A1,0.97,0.03
ApIV,PaV-1,Antheraea pernyi iflavirus,Pasivirus A1,0.97,0.03
VdV-1,BHuV-1,Varroa destructor virus 1,Bovine hungarovirus 1,0.97,0.03
FeV-2,PaV-1,Formica exsecta virus 2,Pasivirus A1,0.97,0.03
AoV-4,PEV-8,Putative A. octoarticulatus virus 2 (g5994 i0),Porcine enterovirus 8,0.97,0.03
STV9,BatPI,Soybean thrips iflavirus 9,Bat picornavirus,0.97,0.03
LHUV-1,BatPI,Linepithema humile virus 1,Bat picornavirus,0.97,0.03
CPMV,MoV-A1,Cowpea mosaic virus,Mosavirus A1,0.97,0.03
LdIV-1,AiV-1,Lymantria dispar iflavirus 1,Aichi virus 1,0.97,0.03
ApIV,PasV-A1,Antheraea pernyi iflavirus,Passerivirus A1,0.97,0.03
ApIV,SiV-A,Antheraea pernyi iflavirus,Sicinivirus A,0.97,0.03
CRLV,POLIO1A,Cherry rasp leaf virus,Human poliovirus 1 Mahoney,0.97,0.03
KgV,FMDV-O1K,King virus,Foot and mouth disease virus,0.97,0.03
DcPV,FMDV-O1K,Dinocampus coccinellae paralysis virus,Foot and mouth disease virus,0.97,0.03
KBV,MSPV-1,Kashmir bee virus,Miniopterus schreibersii picornavirus 1,0.97,0.03
FEX-1,MSPV-1,Formica exsecta virus 1,Miniopterus schreibersii picornavirus 1,0.97,0.03
FeV-2,CosV-A1,Formica exsecta virus 2,Cosavirus A1,0.97,0.03
KgV,BHuV-1,King virus,Bovine hungarovirus 1,0.97,0.03
AoV-6,CPDV,Putative A. octoarticulatus virus 5 (g2855 i0),Canine picodicistrovirus,0.97,0.03
STV9,THV-2993D,Soybean thrips iflavirus 9,Turkey hepatitis virus 2993D,0.97,0.03
NLHV-1,TuASV,Nilaparvata lugens honeydew virus 1,Turkey avisivirus,0.97,0.03
BQCV,SiV-A,Black queen cell virus,Sicinivirus A,0.97,0.03
SBPV,CosV-A1,Slow bee paralysis virus,Cosavirus A1,0.97,0.03
TplV-1,OsV-A1,Thaumetopoea pityocampa iflavirus 1,Oscivirus A1,0.97,0.03
DWV,BatPI,Deformed wing virus,Bat picornavirus,0.97,0.03
SINV-11,SenV-A1, Solenopsis invicta virus 11,Senecavirus A1,0.97,0.03
BatIV,ERAV,Bat iflavirus (Yinda et al. 2016),Equine rhinitis B virus 1,0.97,0.03
AoV-3,AV-A1,Putative A. octoarticulatus virus 1 (g2275 i0),Aquamavirus A1,0.97,0.03
LHUV-1,OsV-A1,Linepithema humile virus 1,Oscivirus A1,0.97,0.03
OilV-1,OsV-A1,Osiphanes invirae iflavirus 1,Oscivirus A1,0.97,0.03
OilV-1,SEIV-2,Osiphanes invirae iflavirus 1,Spodoptera exigua iflavirus 2,0.97,0.03
BBV,MSPV-1,Brevicoryne brassicae virus,Miniopterus schreibersii picornavirus 1,0.97,0.03
SBV,BHuV-1,Sacbrood virus,Bovine hungarovirus 1,0.97,0.03
BBV,PasV-A1,Brevicoryne brassicae virus,Passerivirus A1,0.97,0.03
KBV,BHuV-1,Kashmir bee virus,Bovine hungarovirus 1,0.97,0.03
IAPV,BHuV-1,Israeli acute paralysis virus,Bovine hungarovirus 1,0.97,0.03
NLHV-1,LimV-A1,Nilaparvata lugens honeydew virus 1,Limnipivirus A1,0.97,0.03
IFV,AEV-1,Infectious flacherie virus,Tremovirus A1,0.97,0.03
IFV,SV-NG-J1,Infectious flacherie virus,Salivirus NG-J1,0.97,0.03
FeV-2,AoV-8,Formica exsecta virus 2,Putative A. octoarticulatus virus 7 (g3814 i0),0.97,0.03
ALPV,CosV-A1,Aphid lethal paralysis virus,Cosavirus A1,0.97,0.03
KgV,TuASV,King virus,Turkey avisivirus,0.97,0.03
SBV,HPeV-1,Sacbrood virus,Human parechovirus 1,0.97,0.03
DcPV,POLIO1A,Dinocampus coccinellae paralysis virus,Human poliovirus 1 Mahoney,0.97,0.03
ArMV,PEV-8,Arabis mosaic virus,Porcine enterovirus 8,0.97,0.03
SINV-11,BatPI, Solenopsis invicta virus 11,Bat picornavirus,0.97,0.03
SINV-11,CV-A1, Solenopsis invicta virus 11,Cardiovirus A1,0.97,0.03
ApIV,SV-NG-J1,Antheraea pernyi iflavirus,Salivirus NG-J1,0.97,0.03
DWV,AiV-1,Deformed wing virus,Aichi virus 1,0.97,0.03
VdV-1,FSak1,Varroa destructor virus 1,Feline sakobuvirus A,0.97,0.03
BatIV,CPDV,Bat iflavirus (Yinda et al. 2016),Canine picodicistrovirus,0.97,0.03
STV9,RoM-7,Soybean thrips iflavirus 9,Rosavirus M-7,0.97,0.03
DcPV,RoM-7,Dinocampus coccinellae paralysis virus,Rosavirus M-7,0.97,0.03
BatIV,AV-A1,Bat iflavirus (Yinda et al. 2016),Aquamavirus A1,0.97,0.03
VdV-1,AV-A1,Varroa destructor virus 1,Aquamavirus A1,0.97,0.03
EoV,SenV-A1,Ectropis obliqua virus,Senecavirus A1,0.97,0.03
IFV,TesV-A1,Infectious flacherie virus,Teschovirus A1,0.97,0.03
CPMV,SV-NG-J1,Cowpea mosaic virus,Salivirus NG-J1,0.97,0.03
ArMV,SV-NG-J1,Arabis mosaic virus,Salivirus NG-J1,0.97,0.03
LHUV-1,HPeV-1,Linepithema humile virus 1,Human parechovirus 1,0.97,0.03
SEIV-1,DHAV-1,Spodoptera exigua iflavirus 1,Duck hepatitis A virus 1,0.97,0.03
AoV-4,KuV-A1,Putative A. octoarticulatus virus 2 (g5994 i0),Kunsagivirus A1,0.97,0.03
DcPV,KuV-A1,Dinocampus coccinellae paralysis virus,Kunsagivirus A1,0.97,0.03
AoV-2,OsV-A1,Putative A. octoarticulatus virus 3 (g6982 i4),Oscivirus A1,0.97,0.03
AoV-5,AoV-8,Putative A. octoarticulatus virus 4 (g1894 i0),Putative A. octoarticulatus virus 7 (g3814 i0),0.97,0.03
ArMV,FMDV-O1K,Arabis mosaic virus,Foot and mouth disease virus,0.97,0.03
AoV-6,MSPV-1,Putative A. octoarticulatus virus 5 (g2855 i0),Miniopterus schreibersii picornavirus 1,0.97,0.03
KBV,GaV-A1,Kashmir bee virus,Gallivirus A1,0.97,0.03
SINV-16,HPeV-1, Solenopsis invicta virus 16,Human parechovirus 1,0.97,0.03
SINV-11,CosV-A1, Solenopsis invicta virus 11,Cosavirus A1,0.97,0.03
AoV-7,CPDV,Putative A. octoarticulatus virus 6 (g3684 i0),Canine picodicistrovirus,0.97,0.03
BBV,HPeV-1,Brevicoryne brassicae virus,Human parechovirus 1,0.97,0.03
SINV-11,BQCV, Solenopsis invicta virus 11,Black queen cell virus,0.97,0.03
CPMV,ERAV,Cowpea mosaic virus,Equine rhinitis B virus 1,0.97,0.03
ALPV,BHuV-1,Aphid lethal paralysis virus,Bovine hungarovirus 1,0.97,0.03
KgV,FSak1,King virus,Feline sakobuvirus A,0.97,0.03
DcPV,BatPI,Dinocampus coccinellae paralysis virus,Bat picornavirus,0.97,0.03
SINV-11,MSPV-1, Solenopsis invicta virus 11,Miniopterus schreibersii picornavirus 1,0.97,0.03
LHUV-1,MoV-A1,Linepithema humile virus 1,Mosavirus A1,0.97,0.03
DcPV,THV-2993D,Dinocampus coccinellae paralysis virus,Turkey hepatitis virus 2993D,0.97,0.03
AoV-6,THV-2993D,Putative A. octoarticulatus virus 5 (g2855 i0),Turkey hepatitis virus 2993D,0.97,0.03
FeV-2,TuASV,Formica exsecta virus 2,Turkey avisivirus,0.97,0.03
EoV,AoV-8,Ectropis obliqua virus,Putative A. octoarticulatus virus 7 (g3814 i0),0.97,0.03
PNV,AoV-8,Perina nuda virus,Putative A. octoarticulatus virus 7 (g3814 i0),0.97,0.03
BQCV,CosV-A1,Black queen cell virus,Cosavirus A1,0.97,0.03
TplV-1,TuASV,Thaumetopoea pityocampa iflavirus 1,Turkey avisivirus,0.97,0.03
KgV,AoV-8,King virus,Putative A. octoarticulatus virus 7 (g3814 i0),0.97,0.03
